timestamp_utc,pm25_outdoor_hourly,pm25_outdoor_rolling_24h,pm25_indoor_hourly,pm25_indoor_rolling_24h,who_24h_guideline
2025-12-04 10:00:00+00:00,64.0,,,,15
2025-12-04 11:00:00+00:00,79.0,,87.0,,15
2025-12-04 12:00:00+00:00,443.5,,254.0,,15
2025-12-04 13:00:00+00:00,408.0,,399.5,,15
2025-12-04 14:00:00+00:00,400.5,,403.5,,15
2025-12-04 15:00:00+00:00,196.0,,239.0,,15
2025-12-04 16:00:00+00:00,156.0,,270.5,,15
2025-12-04 17:00:00+00:00,119.0,,125.5,,15
2025-12-04 18:00:00+00:00,107.0,,101.0,,15
2025-12-04 19:00:00+00:00,106.5,,97.0,,15
2025-12-04 20:00:00+00:00,105.0,,94.5,,15
2025-12-04 21:00:00+00:00,94.0,,90.0,,15
2025-12-04 22:00:00+00:00,72.0,,84.5,,15
2025-12-04 23:00:00+00:00,83.0,,68.0,,15
2025-12-05 00:00:00+00:00,165.0,,154.0,,15
2025-12-05 01:00:00+00:00,132.0,,122.0,,15
2025-12-05 02:00:00+00:00,154.5,,120.0,,15
2025-12-05 03:00:00+00:00,120.5,166.97,158.5,,15
2025-12-05 04:00:00+00:00,97.5,163.32,106.0,165.25,15
2025-12-05 05:00:00+00:00,78.5,159.07,90.0,161.29,15
2025-12-05 06:00:00+00:00,73.0,154.98,86.5,157.55,15
2025-12-05 07:00:00+00:00,66.0,150.93,81.0,153.9,15
2025-12-05 08:00:00+00:00,63.0,147.11,77.0,150.41,15
2025-12-05 09:00:00+00:00,65.0,143.69,73.0,147.04,15
2025-12-05 10:00:00+00:00,61.5,143.58,71.0,143.88,15
2025-12-05 11:00:00+00:00,83.5,143.77,66.0,143.0,15
2025-12-05 12:00:00+00:00,,128.96,192.0,140.42,15
2025-12-05 13:00:00+00:00,,115.82,433.0,141.81,15
2025-12-05 14:00:00+00:00,,103.19,384.0,141.0,15
2025-12-05 15:00:00+00:00,,99.26,206.0,139.62,15
2025-12-05 16:00:00+00:00,,97.2,190.0,136.27,15
2025-12-05 17:00:00+00:00,,96.86,196.5,139.23,15
2025-12-05 18:00:00+00:00,,97.22,170.0,142.1,15
2025-12-05 19:00:00+00:00,,97.79,128.0,143.4,15
2025-12-05 20:00:00+00:00,,98.61,127.0,144.75,15
2025-12-05 21:00:00+00:00,,100.09,107.0,145.46,15
2025-12-05 22:00:00+00:00,,102.67,98.0,146.02,15
2025-12-05 23:00:00+00:00,138.5,104.98,105.0,147.56,15
2025-12-06 00:00:00+00:00,140.0,103.94,159.0,147.77,15
2025-12-06 01:00:00+00:00,328.0,112.1,266.5,153.79,15
2025-12-06 02:00:00+00:00,297.0,118.04,465.0,168.17,15
2025-12-06 03:00:00+00:00,306.0,125.77,321.0,174.94,15
2025-12-06 04:00:00+00:00,234.0,131.46,270.0,181.77,15
2025-12-06 05:00:00+00:00,162.5,134.96,213.0,186.9,15
2025-12-06 06:00:00+00:00,122.0,137.0,148.5,189.48,15
2025-12-06 07:00:00+00:00,106.0,138.67,128.0,191.44,15
2025-12-06 08:00:00+00:00,122.0,141.12,134.5,193.83,15
2025-12-06 09:00:00+00:00,117.5,143.31,128.5,196.15,15
2025-12-06 10:00:00+00:00,118.0,145.67,135.0,198.81,15
2025-12-06 11:00:00+00:00,294.5,154.46,303.0,208.69,15
2025-12-06 12:00:00+00:00,262.0,161.7,371.5,216.17,15
2025-12-06 13:00:00+00:00,409.5,174.91,,214.82,15
