timestamp,device_serial,PM 1.0,PM 2.5,PM 10,Temperature,Relative Humidity
2026-05-18T04:15:00Z,5506835,38.8,65.0,,33.7,33.0
2026-05-18T05:15:00Z,5506835,35.0,57.6,,32.3,35.0
2026-05-18T09:15:00Z,5506835,33.6,54.7,,30.0,42.0
2026-05-18T10:15:00Z,5506835,34.2,55.3,,27.3,48.0
2026-05-18T11:15:00Z,5506835,34.3,56.0,,29.5,43.0
2026-05-18T12:15:00Z,5506835,36.7,61.1,,27.7,47.0
2026-05-18T13:15:00Z,5506835,41.4,70.0,,26.0,52.0
2026-05-18T14:15:00Z,5506835,41.0,69.3,,25.3,56.0
2026-05-18T15:15:00Z,5506835,39.6,68.6,,24.4,60.0
2026-05-18T16:15:00Z,5506835,45.5,78.2,,23.8,62.0
2026-05-18T17:15:00Z,5506835,51.0,86.1,,23.5,62.0
2026-05-18T18:15:00Z,5506835,42.0,72.8,,23.0,62.0
2026-05-18T19:15:00Z,5506835,39.4,68.1,,22.9,61.0
2026-05-18T20:15:00Z,5506835,43.6,73.7,,22.6,61.0
2026-05-18T21:15:00Z,5506835,41.5,71.7,,22.5,61.0
2026-05-18T22:15:00Z,5506835,40.0,69.6,,22.5,61.0
2026-05-18T23:15:00Z,5506835,37.0,64.4,,22.8,60.0
2026-05-18T04:15:00Z,5509787,40.3,61.5,,33.5,33.0
2026-05-18T05:15:00Z,5509787,36.0,54.6,,32.7,34.0
2026-05-18T06:15:00Z,5509787,35.4,53.2,,34.7,31.0
2026-05-18T07:15:00Z,5509787,34.9,52.8,,33.4,35.0
2026-05-18T08:15:00Z,5509787,33.5,50.7,,32.1,37.0
2026-05-18T09:15:00Z,5509787,34.5,53.2,,29.5,43.0
2026-05-18T10:15:00Z,5509787,34.3,52.4,,29.7,42.0
2026-05-18T11:15:00Z,5509787,34.8,53.3,,29.5,42.0
2026-05-18T12:15:00Z,5509787,37.3,58.3,,27.5,47.0
2026-05-18T13:15:00Z,5509787,42.1,66.9,,25.8,53.0
2026-05-18T14:15:00Z,5509787,42.1,66.9,,25.0,57.0
2026-05-18T15:15:00Z,5509787,40.1,65.3,,24.2,61.0
2026-05-18T16:15:00Z,5509787,45.6,74.3,,23.6,63.0
2026-05-18T17:15:00Z,5509787,51.2,81.9,,23.3,63.0
2026-05-18T18:15:00Z,5509787,41.8,68.5,,22.8,63.0
2026-05-18T19:15:00Z,5509787,39.4,64.5,,22.7,62.0
2026-05-18T20:15:00Z,5509787,43.6,69.9,,22.5,62.0
2026-05-18T21:15:00Z,5509787,41.2,67.6,,22.4,62.0
2026-05-18T22:15:00Z,5509787,39.7,65.9,,22.4,62.0
2026-05-18T23:15:00Z,5509787,36.9,60.9,,22.7,61.0
2026-05-18T04:15:00Z,5509788,41.8,67.7,,33.5,36.0
2026-05-18T05:15:00Z,5509788,37.4,59.5,,32.4,37.0
2026-05-18T06:15:00Z,5509788,37.0,58.2,,34.2,35.0
2026-05-18T07:15:00Z,5509788,36.1,57.1,,33.0,39.0
