id,name,locality,timezone,isMobile,isMonitor,instruments,sensors,licenses,bounds,distance,datetimeFirst,datetimeLast,country.id,country.code,country.name,owner.id,owner.name,provider.id,provider.name,coordinates.latitude,coordinates.longitude,datetimeFirst.utc,datetimeFirst.local,datetimeLast.utc,datetimeLast.local
3,NMA - Nima,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 6, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 5, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.19968, 5.58389, -0.19968, 5.58389]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.58389,-0.19968,,,,
4,NMT - Nima,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 7, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 8, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.19898, 5.58165, -0.19898, 5.58165]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.58165,-0.19898,,,,
5,JTA - Jamestown,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 10, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 9, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.2103972, 5.5401139, -0.2103972, 5.5401139]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.5401139,-0.2103972,,,,
6,ADT - Asylum Down,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 11, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 12, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.2120555, 5.570722, -0.2120555, 5.570722]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.570722,-0.2120555,,,,
7,ADEPA - Asylum Down,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 14, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 13, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.2040278, 5.567833, -0.2040278, 5.567833]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.567833,-0.2040278,,,,
8,ADA - Asylum Down,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 16, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 15, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.2077778, 5.566722, -0.2077778, 5.566722]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.566722,-0.2077778,,,,
9,ELC - East Legon,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 17, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 18, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.1651875, 5.6335571, -0.1651875, 5.6335571]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.6335571,-0.1651875,,,,
10,ELT - East Legon,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 20, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 19, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.1695437, 5.6408995, -0.1695437, 5.6408995]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.6408995,-0.1695437,,,,
11,ELA - East Legon,,Africa/Accra,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 22, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 21, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-0.1579063, 5.6408137, -0.1579063, 5.6408137]",,,,152,GH,Ghana,4,Unknown Governmental Organization,209,Dr. Raphael E. Arku and Colleagues,5.6408137,-0.1579063,,,,
12,SPARTAN - IIT Kanpur,,Asia/Kolkata,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 23, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[80.233, 26.519, 80.233, 26.519]",,,,9,IN,India,4,Unknown Governmental Organization,226,Spartan,26.519,80.233,,,,
13,"Delhi Technological University, Delhi - CPCB",,Asia/Kolkata,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 13866, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': 'NO₂ mass'}}, {'id': 24, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': 'O₃ mass'}}, {'id': 13864, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[77.12, 28.744, 77.12, 28.744]",,,,9,IN,India,4,Unknown Governmental Organization,168,CPCB,28.744,77.12,2016-11-02T19:00:00Z,2016-11-03T00:30:00+05:30,2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30
14,SPARTAN - CITEDEF,,America/Argentina/Buenos_Aires,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 25, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[-58.506, -34.56, -58.506, -34.56]",,,,6,AR,Argentina,4,Unknown Governmental Organization,226,Spartan,-34.56,-58.506,,,,
15,IGI Airport,,Asia/Kolkata,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 27, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': 'CO mass'}}, {'id': 28, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': 'NO₂ mass'}}, {'id': 29, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': 'O₃ mass'}}, {'id': 26, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 30, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[77.094, 28.56, 77.094, 28.56]",,,,9,IN,India,4,Unknown Governmental Organization,168,CPCB,28.56,77.094,,,,
16,Civil Lines,,Asia/Kolkata,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 33, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': 'CO mass'}}, {'id': 32, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': 'NO₂ mass'}}, {'id': 31, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 34, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[77.2262, 28.6787, 77.2262, 28.6787]",,,,9,IN,India,4,Unknown Governmental Organization,168,CPCB,28.6787,77.2262,,,,
17,"R K Puram, Delhi - DPCC",,Asia/Kolkata,False,True,"[{'id': 2, 'name': 'Government Monitor'}, {'id': 2, 'name': 'Government Monitor'}]","[{'id': 392, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': 'CO mass'}}, {'id': 12234782, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'displayName': 'CO'}}, {'id': 12234783, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'displayName': 'NO'}}, {'id': 12234784, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'displayName': 'NO₂'}}, {'id': 36, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': 'NO₂ mass'}}, {'id': 14340713, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'displayName': 'NOX'}}, {'id': 394, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': 'O₃ mass'}}, {'id': 12234785, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': 'O₃ mass'}}, {'id': 12234786, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 399, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 35, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12234787, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 12234788, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'displayName': 'RH'}}, {'id': 393, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': 'SO₂ mass'}}, {'id': 12234789, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'displayName': 'SO₂'}}, {'id': 12234790, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'displayName': 'Temperature (C)'}}, {'id': 14340714, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'displayName': 'Wind direction'}}, {'id': 14340715, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'displayName': 'Wind speed'}}]",,"[77.186937, 28.563262, 77.186937, 28.563262]",,,,9,IN,India,8524,Delhi Pollution Control Committee,168,CPCB,28.563262,77.186937,2016-02-05T14:55:00Z,2016-02-05T20:25:00+05:30,2026-05-19T04:30:00Z,2026-05-19T10:00:00+05:30
18,SPARTAN - Vietnam Acad. Sci.,,Asia/Bangkok,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 37, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[105.8, 21.048, 105.8, 21.048]",,,,56,VN,Vietnam,4,Unknown Governmental Organization,226,Spartan,21.048,105.8,,,,
19,MNB,,Asia/Ulaanbaatar,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 5136, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': 'CO mass'}}, {'id': 5137, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': 'NO₂ mass'}}, {'id': 38, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': 'O₃ mass'}}, {'id': 5138, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 5139, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 5140, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': 'SO₂ mass'}}]",,"[106.888629, 47.929732, 106.888629, 47.929732]",,,,47,MN,Mongolia,4,Unknown Governmental Organization,116,Agaar.mn,47.929732,106.888629,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,2019-03-13T22:30:00Z,2019-03-14T06:30:00+08:00
21,Beijing US Embassy,Beijing,Asia/Shanghai,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 40, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[116.47, 39.95, 116.47, 39.95]",,,,10,CN,China,4,Unknown Governmental Organization,231,Beijing US Embassy,39.95,116.47,2016-01-31T05:00:00Z,2016-01-31T13:00:00+08:00,2023-08-15T15:00:00Z,2023-08-15T23:00:00+08:00
22,SPARTAN - Dhaka University,,Asia/Dhaka,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 41, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}]",,"[90.398, 23.728, 90.398, 23.728]",,,,128,BD,Bangladesh,4,Unknown Governmental Organization,226,Spartan,23.728,90.398,,,,
23,Amgalan,,Asia/Ulaanbaatar,False,True,"[{'id': 2, 'name': 'Government Monitor'}]","[{'id': 68, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'displayName': 'CO mass'}}, {'id': 5177, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'displayName': 'NO₂ mass'}}, {'id': 5178, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': 'O₃ mass'}}, {'id': 5183, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': 'PM10'}}, {'id': 42, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': 'PM2.5'}}, {'id': 5186, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'displayName': 'SO₂ mass'}}]",,"[106.99790699999998, 47.913429, 106.99790699999998, 47.913429]",,,,47,MN,Mongolia,4,Unknown Governmental Organization,116,Agaar.mn,47.913429,106.99790699999998,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,2019-03-13T22:30:00Z,2019-03-14T06:30:00+08:00
